# s Q0 Q2 Q4 Q6 Q8 Q10
2.505111031774929012e-02 9.979467845643715807e-01 1.986494138419107109e-07 7.522021386831590701e-07 1.784958834616322529e-07 1.066175526883251367e-07 3.112983713150226258e-07
2.539171776269645922e-02 9.979103866369802844e-01 2.041344395174376286e-07 7.729509377930612325e-07 1.834204755471777384e-07 1.095599518743766835e-07 3.198843431095737250e-07
2.573695627708853448e-02 9.978737848183834025e-01 2.097715389098692384e-07 7.942741452812321759e-07 1.884814389371031282e-07 1.125838684334264896e-07 3.287079708047942511e-07
2.608688882726556413e-02 9.978369779742322088e-01 2.155649534202834811e-07 8.161877462857570809e-07 1.936825702621419567e-07 1.156915733694787238e-07 3.377758665283302729e-07
2.644157923568950935e-02 9.977999649639565094e-01 2.215190438469188463e-07 8.387081740098299408e-07 1.990277728081151125e-07 1.188854015327295080e-07 3.470948277114947650e-07
2.680109219258448860e-02 9.977627446407310030e-01 2.276382935858003571e-07 8.618523225809328986e-07 2.045210592425253167e-07 1.221677532827913891e-07 3.566718423450876698e-07
2.716549326773531198e-02 9.977253158514410858e-01 2.339273122533649661e-07 8.856375599963682647e-07 2.101665549158034748e-07 1.255410964494265529e-07 3.665140943686572126e-07
2.753484892244643586e-02 9.976876774366519873e-01 2.403908392482741680e-07 9.100817415831779719e-07 2.159685010080463990e-07 1.290079682243352493e-07 3.766289692233007785e-07
2.790922652166349938e-02 9.976498282305723553e-01 2.470337474494697707e-07 9.352032238156684834e-07 2.219312578163543765e-07 1.325709771326577199e-07 3.870240595619189449e-07
2.828869434625969417e-02 9.976117670610217258e-01 2.538610470213097187e-07 9.610208785302050585e-07 2.280593081368146375e-07 1.362328050613591002e-07 3.977071711235195727e-07
2.867332160548916389e-02 9.975734927493972171e-01 2.608778893292209108e-07 9.875541075499318473e-07 2.343572607441488866e-07 1.399962093463176217e-07 4.086863287767956084e-07
2.906317844960974034e-02 9.975350041106380017e-01 2.680895709359648313e-07 1.014822857756244162e-06 2.408298539223995725e-07 1.438640248948839342e-07 4.199697827383972375e-07
2.945833598267730280e-02 9.974962999531922225e-01 2.755015378768267114e-07 1.042847636454918736e-06 2.474819593428786747e-07 1.478391664932414973e-07 4.315660149617507875e-07
2.985886627551409891e-02 9.974573790789820205e-01 2.831193897316854469e-07 1.071649527467767614e-06 2.543185855608929547e-07 1.519246309325189137e-07 4.434837457276878354e-07
3.026484237885337242e-02 9.974182402833687844e-01 2.909488841442009234e-07 1.101250207402803396e-06 2.613448821091258593e-07 1.561234994456809019e-07 4.557319404065277603e-07
3.067633833666272639e-02 9.973788823551190674e-01 2.989959413067640566e-07 1.131671962536355283e-06 2.685661434598011021e-07 1.604389400895173459e-07 4.683198164239420233e-07
3.109342919964865060e-02 9.973393040763689488e-01 3.072666486093784662e-07 1.162937706154427553e-06 2.759878131517114684e-07 1.648742102209767266e-07 4.812568504261911038e-07
3.151619103894462426e-02 9.972995042225891726e-01 3.157672654234208181e-07 1.195070996393241855e-06 2.836154880362286436e-07 1.694326590450622187e-07 4.945527856514457696e-07
3.194470095998537540e-02 9.972594815625497322e-01 3.245042279924488718e-07 1.228096054623516859e-06 2.914549225975088398e-07 1.741177302121652339e-07 5.082176395158020822e-07
3.237903711656973244e-02 9.972192348582847865e-01 3.334841546280653216e-07 1.262037784225094134e-06 2.995120336428152917e-07 1.789329646139892026e-07 5.222617114093022868e-07
3.281927872511473943e-02 9.971787628650562452e-01 3.427138507299358496e-07 1.296921790186976254e-06 3.077929046354750118e-07 1.838820030126230303e-07 5.366955907349537317e-07
3.326550607910352259e-02 9.971380643313191294e-01 3.522003142810999188e-07 1.332774398989010977e-06 3.163037906491289175e-07 1.889685889952577215e-07 5.515301651617324502e-07
3.371780056372962464e-02 9.970971379986848238e-01 3.619507413384465425e-07 1.369622679203169093e-06 3.250511232164737880e-07 1.941965718895183537e-07 5.667766291257487621e-07
3.417624467074045075e-02 9.970559826018843275e-01 3.719725317161129783e-07 1.407494462659976837e-06 3.340415153681788933e-07 1.995699097884223110e-07 5.824464925744543677e-07
3.464092201348251826e-02 9.970145968687333937e-01 3.822732948356357805e-07 1.446418366230799702e-06 3.432817668186532552e-07 2.050926726637183384e-07 5.985515899650351352e-07
3.511191734215130672e-02 9.969729795200947819e-01 3.928608557139333828e-07 1.486423814266222095e-06 3.527788692528594914e-07 2.107690455448833288e-07 6.151040895238155031e-07
3.558931655924840037e-02 9.969311292698423976e-01 4.037432612896616682e-07 1.527541061546550937e-06 3.625400120123464644e-07 2.166033319142772853e-07 6.321165027658745798e-07
3.607320673524882365e-02 9.968890448248234337e-01 4.149287866068903855e-07 1.569801217178726343e-06 3.725725874528331519e-07 2.225999569529169830e-07 6.496016943075322496e-07
